uuid,inat_id,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,genus,location,num_identification_agreements,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,kingdom,phylum,class,order,family,taxon_id,taxon_rank,taxon_name,common_name
f48dcb1d-9ebf-4726-9361-e69a4401a845,394827815,2026-08-26 15:37:12-07:00,2026-08-26,-122.7734489,45.563442,84QVH600+,271.0,,13.9,27.2,0.0,1.7,,,Fomitopsis mounceae,Fomitopsis,"Linnton, Portland, OR, USA",1,,,,,,,,,,,,,,,
31c349e4-12ec-41cb-8130-7d5898fdaa7f,397296627,2026-09-04 14:35:17-07:00,2026-09-04,-122.5489583333,45.4227116667,84QVCF00+,121.0,,12.8,20.0,2.9,5.9,,,Fomitopsis ochracea,Fomitopsis,"Mount Talbert Nature Park, Happy Valley, OR, US",1,False,,,16.0,16.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,495903.0,species,Fomitopsis ochracea,Ochre-banded Conk
a14cd81a-6539-423d-84e2-79eb48f42f0a,396152629,2026-08-29 09:07:11-07:00,2026-08-29,-121.8555638194,44.6502547846,84PWM400+,1555.0,,,,,,,,Fomitopsis mounceae,Fomitopsis,"Idanha, OR 97350, USA",1,False,,,4999.0,4999.0,coarse,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,877361.0,species,Fomitopsis mounceae,Northern Red Belt
1b36095d-b19d-4811-bf76-22e0690e01ec,395911137,2026-08-30 11:21:14-07:00,2026-08-30,-122.8371360881,45.3880135052,84QV9500+,45.0,,11.1,23.0,0.0,9.4,,1018.5,Fomitopsis mounceae,Fomitopsis,"Main Trail, Sherwood, OR, US",1,False,,,83.0,83.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,877361.0,species,Fomitopsis mounceae,Northern Red Belt
e14ad535-8be9-4a0b-a793-2a68e2a9624b,395251136,2026-08-28 09:40:30-07:00,2026-08-28,-122.8370283333,45.3880666667,84QV9500+,45.0,,13.9,25.0,0.0,7.0,,,Fomitopsis mounceae,Fomitopsis,"Main Trail, Sherwood, OR, US",1,False,,,4.0,4.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,877361.0,species,Fomitopsis mounceae,Northern Red Belt
155c71dd-645a-4b4d-87bc-8aed69a77385,393570184,2026-08-22 09:44:52-07:00,2026-08-22,-122.8370283333,45.3880533333,84QV9500+,45.0,,11.7,25.0,0.0,5.6,,,Fomitopsis mounceae,Fomitopsis,"Main Trail, Sherwood, OR, US",1,False,,,8.0,8.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,877361.0,species,Fomitopsis mounceae,Northern Red Belt
eaeed504-71c3-4f19-b7da-073d58cf2ca2,391457812,2026-07-31 17:52:35-06:00,2026-07-31,-106.22193,38.5822116667,85CMHQ00+,2801.0,,8.0,21.0,0.1,11.5,,,Fomitopsis schrenkii,Fomitopsis,"Pike and San Isabel National Forests, Salida, CO, US",1,False,,,4.0,4.0,precise,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,877362.0,species,Fomitopsis schrenkii,Schrenk's Red-Belt Conk
