uuid,inat_id,obscured,geoprivacy,taxon_geoprivacy,positional_accuracy,public_positional_accuracy,location_precision,timestamp,date,lon,lat,olc,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,kingdom,phylum,class,order,family,genus,taxon_id,taxon_rank,taxon_name,common_name
63ee286f-1022-4feb-9bf9-bcd1facfbac9,396814625,False,,,534.0,534.0,precise,2026-09-02 09:47:12-07:00,2026-09-02,-121.7996779713,45.5755639136,84QWH600+,1318.0,,12.0,19.0,0.8,1.8,,,Laetiporus conifericola,"Cascade Locks, OR, US",2,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
0f9bfbcc-5f58-4da5-9b35-e4ff3d50f996,395644035,False,,,2.0,2.0,precise,2026-08-29 11:04:49-07:00,2026-08-29,-122.0799721667,45.56378,84QVHW00+,650.0,,12.7,22.5,0.6,11.1,,1018.7,Laetiporus conifericola,"Larch Mountain Trail, Corbett, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
d4b4b2c9-6ffe-4f4d-a6fe-4e4271a9a7e5,394992850,False,,,4.0,4.0,precise,2026-08-27 10:12:22-07:00,2026-08-27,-122.6536331177,45.4755935669,84QVF800+,37.0,,15.6,25.0,0.0,4.2,,1017.2,Laetiporus gilbertsonii,Portland,1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,120154,species,Laetiporus gilbertsonii,Western Hardwood Sulphur Shelf
1e642e84-b3f5-4e70-877d-e9a42253a07c,388938279,False,,,122.0,122.0,precise,2026-08-06 18:08:00-07:00,2026-08-06,-122.22914001,45.3075495173,84QV8Q00+,413.0,,13.9,35.0,0.0,1.9,,,Laetiporus conifericola,"Clackamas County, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
9791a517-bd69-4154-866a-03524a911818,326140125,True,obscured,,12346.0,27190.0,obscured,2025-11-08 11:37:55-08:00,2025-11-08,-121.9252089194,45.2785149971,84QW7300+,992.0,,4.0,14.3,0.0,25.5,,1020.7,Laetiporus conifericola,"Clackamas County, US-OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
5d174157-7b2b-4d62-a2cd-9232992f9fe5,325814749,False,,,4.0,4.0,precise,2025-09-21 16:05:26-07:00,2025-09-21,-121.8054283333,45.4471783333,84QWC500+,1230.0,,13.0,20.0,0.2,6.4,,1015.3,Laetiporus conifericola,"Lost Lake Rd, Mount Hood Parkdale, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
f6409cfe-3891-4a5d-8972-779a0b73054a,319065718,False,,,10.0,10.0,precise,2025-10-05 16:46:48-07:00,2025-10-05,-121.688195,45.25617,84QW7800+,1334.0,,5.0,21.0,0.0,2.2,,1020.1,Laetiporus conifericola,"Mt. Hood National Forest, Maupin, OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
e39bb7f5-90a0-4612-aec5-ca2e41437e5e,314399792,False,,,24.0,24.0,precise,2025-09-16 11:26:15-07:00,2025-09-16,-122.6757122,45.4834211,84QVF800+,22.0,,13.0,31.0,0.0,16.3,,1014.5,Laetiporus gilbertsonii,"South Portland, Portland, OR, USA",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,120154,species,Laetiporus gilbertsonii,Western Hardwood Sulphur Shelf
82e729b4-0080-4b3d-b4ac-cfe71dd6d5f3,310406151,True,obscured,,235.0,27190.0,obscured,2025-08-30 15:40:00-07:00,2025-08-30,-122.080669982,45.2671907801,84QV7W00+,1164.0,,14.0,24.0,0.0,6.1,,1018.1,Laetiporus conifericola,"Clackamas County, US-OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
78869a90-7769-4042-9825-bf0c4874b652,304636597,False,,,78.0,78.0,precise,2025-08-07 11:17:30-07:00,2025-08-07,-121.7925116667,45.4140966667,84QWC600+,1310.0,,15.0,22.0,0.0,6.9,,1020.7,Laetiporus conifericola,"Clackamas County, US-OR, US",1,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Laetiporaceae,Laetiporus,118057,species,Laetiporus conifericola,Conifer Chicken of the Woods
