uuid,inat_id,timestamp,date,lon,lat,elevation,tavg,tmin,tmax,precipitation,windspeed,winddirection,presure,species,location,num_identification_agreements,ndvi,soil_moisture,prcp_d0,prcp_d1,prcp_d2,prcp_d3,prcp_d4,prcp_d5,prcp_d6,land_cover,land_cover_label,slope,aspect,solar_exposure,wind_exposure,water_retention,tmax_d0,tmin_d0,tmax_d1,tmin_d1,tmax_d2,tmin_d2,tmax_d3,tmin_d3,tmax_d4,tmin_d4,tmax_d5,tmin_d5,tmax_d6,tmin_d6
127f5817-0396-4b26-911d-0dad956de687,384399753,2026-07-23 15:57:50-06:00,2026-07-23,-106.3227216667,41.3307283333,3202.0,,16.0,26.0,12.1,6.4,,,Boletus rubriceps,"Tipple Trail, Encampment, WY, US",2,,,39.08782,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,16.8,8.9,18.7,9.1,21.9,10.3,22.3,11.5,20.3,10.5,19.9,9.3,19.1,9.1
096dfc44-4492-4854-85db-d16dc58ed39c,384596590,2026-07-24 10:34:27-06:00,2026-07-24,-106.5044784546,35.834941864,2598.0,,19.8,29.7,12.6,4.8,,,Boletus rubriceps,"Valles Caldera National Preserve, Sandoval County, US-NM, US",1,,,40.603107,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,27.8,12.6,24.0,12.8,24.8,14.0,24.7,11.1,26.9,12.3,25.6,10.0,24.8,9.8
4ccc854b-6ad9-4c0a-8551-5d94e7425acb,384670894,2026-07-24 09:25:33-06:00,2026-07-24,-105.0890992316,39.6644266485,1648.0,,19.4,35.0,0.4,6.6,,,Cerioporus squamosus,"Stone House Trail, Lakewood, CO, US",1,,,0.0,9.1468525,9.1468525,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,35.1,18.0,27.7,17.4,34.9,17.1,35.5,20.9,37.9,19.8,36.2,17.6,33.4,17.0
18f195b2-8d55-4390-881e-4755c9a87ecb,385760473,2026-07-25 11:31:56-06:00,2026-07-25,-106.3165283333,41.3487366667,3315.0,,15.6,29.8,0.6,13.2,,1015.0,Boletus rubriceps,"Lakes Trail, Centennial, WY, US",1,,,0.0,0.0,39.08782,0.0,0.0,0.0,0.0,100,Moss and lichen,,,,,,21.9,11.8,20.9,10.0,16.8,8.9,18.7,9.1,21.9,10.3,22.3,11.5,20.3,10.5
ffdc776c-9b1e-4301-bc8d-d98ec319e942,386480251,2026-07-27 14:15:50-06:00,2026-07-27,-105.6588216667,39.9051366667,3070.0,,7.0,13.0,8.2,10.3,,1021.3,Boletus rubriceps,"Forest Lakes Trail, Black Hawk, CO, US",1,,,0.0,0.0,0.0,0.0,14.704095,14.704095,0.0,10,Tree cover,,,,,,22.1,10.9,24.7,9.7,23.8,8.6,22.7,7.5,18.5,7.7,22.9,7.5,21.3,8.4
813881a8-3583-464c-a200-432bc8cfdde6,385703664,2026-07-27 09:11:06-06:00,2026-07-27,-106.3151489426,41.3509627596,3325.0,,17.3,27.6,5.2,12.6,,1014.6,Boletus rubriceps,"Albany County, US-WY, US",1,,,0.0,0.0,0.0,0.0,38.838768,0.0,0.0,30,Grassland,,,,,,20.2,11.2,22.4,12.4,21.1,11.0,20.1,9.2,16.0,8.2,18.0,8.4,21.2,9.5
6caa642b-9996-4428-bf37-f99895e089cb,386645193,2026-07-29 18:26:55-06:00,2026-07-29,-106.2259952724,41.3738717587,3172.0,,13.9,26.6,4.8,14.5,,1013.0,Boletus rubriceps,"Centennial, WY 82055, USA",1,,,0.0,0.0,0.0,0.0,0.0,0.0,40.82881,10,Tree cover,,,,,,19.7,11.2,19.2,9.8,21.2,12.2,23.4,13.4,22.1,12.0,21.1,10.2,17.0,9.2
675fa64e-971f-4026-b885-8554f966e155,387174544,2026-07-30 16:15:32-06:00,2026-07-30,-106.9367787697,38.5542516433,2357.0,,11.1,30.0,0.0,3.1,,,Boletus rubriceps,"N 11th St, Gunnison, CO, US",1,,,0.0,0.0,12.604299,25.208597,0.0,0.0,0.0,30,Grassland,,,,,,28.7,11.3,28.4,13.1,30.3,11.7,27.7,13.8,30.5,13.3,30.8,11.4,29.2,11.2
0b4fee00-ed0f-442a-bb9b-7921979d0441,387184288,2026-07-31 13:54:04-06:00,2026-07-31,-110.8180890421,40.7535438592,3216.0,,,,,,,,Suillus brevipes,"Utah, US",1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,21.5,8.1,18.7,7.7,17.5,9.3,18.7,7.6,20.6,10.5,22.4,11.6,21.1,9.4
46f1a554-03b7-4e9c-a61a-d36300e0e561,387270638,2026-08-01 09:00:30-06:00,2026-08-01,-105.5283708,36.1316672,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Neoboletus subvelutipes,"Taos County, US-NM, US",1,,,,0.0,0.0,8.403247,8.403247,4.2016234,0.0,10,Tree cover,,,,,,27.1,11.1,29.1,12.0,28.9,13.9,26.9,13.5,27.9,12.3,28.3,14.3,28.7,12.7
e80958f6-ca18-4a1f-9c68-1c5f3b1a1230,387325272,2026-08-01 12:06:42-06:00,2026-08-01,-105.5278027778,36.1319805556,2596.0,,14.5,29.6,2.4,11.8,,1019.3,Chalciporus piperatus,"Vadito, NM 87579, USA",1,,,,0.0,0.0,8.403247,8.403247,4.2016234,0.0,10,Tree cover,,,,,,27.1,11.1,29.1,12.1,28.9,14.0,26.9,13.6,27.9,12.3,28.4,14.3,28.8,12.8
add3d0cb-760e-40af-b2ad-79748700e380,387792214,2026-08-01 15:16:29-06:00,2026-08-01,-110.8202897301,40.7334992797,3302.0,,,,,,,,Suillus brevipes,"Utah, US",1,,,,0.0,0.0,0.0,4.807453,0.0,0.0,60,Bare / sparse vegetation,,,,,,23.2,9.0,21.5,8.1,18.7,7.7,17.5,9.3,18.7,7.6,20.6,10.5,22.4,11.6
6d5d7f11-f3dd-4ae0-8e26-27111f5a074a,387757703,2026-08-02 15:39:32-06:00,2026-08-02,-110.8324568371,40.6487275331,3269.0,,,,,,,,Boletus edulis,"Utah, US",1,,,,,0.0,0.0,0.0,5.4573636,0.0,100,Moss and lichen,,,,,,22.6,11.1,23.8,9.9,21.4,8.5,18.3,7.0,18.1,9.2,19.2,8.3,20.4,10.7
773ddbf4-2db3-4cc0-a1a3-25f0fc9a3fa7,387757829,2026-08-02 15:45:06-06:00,2026-08-02,-110.8131884794,40.7196646107,3201.0,,,,,,,,Boletus edulis,"Utah, US",1,,,,,0.0,0.0,0.0,4.807453,0.0,30,Grassland,,,,,,22.5,11.3,23.2,9.0,21.5,8.1,18.7,7.7,17.5,9.3,18.7,7.6,20.6,10.5
d161cc4f-f421-4be7-9f05-1f5b90ac4bbe,388028029,2026-08-02 19:13:00-06:00,2026-08-02,-109.8175542997,40.775764,3349.0,,15.0,35.0,0.0,3.8,,,Boletus edulis,"Vernal, UT 84078, USA",1,,,,,0.0,0.0,0.0,0.0,0.0,100,Moss and lichen,,,,,,23.0,7.9,22.5,7.9,20.3,6.9,18.3,5.8,17.2,9.2,18.8,7.5,20.3,10.7
c32ef880-b0f4-40cc-af78-d58686ff1823,388641182,2026-08-02 14:22:33-06:00,2026-08-02,-109.2607333333,42.6958716667,2823.0,,16.3,30.2,0.0,21.4,,1010.5,Boletus edulis,"Big Sandy Trail, Boulder, WY, US",2,,,,,0.0,0.0,0.0,0.0,0.0,10,Tree cover,,,,,,26.2,12.5,24.7,9.3,22.9,9.0,21.3,7.8,21.2,10.7,22.6,9.0,23.9,11.9
03c7c560-3c89-4764-aae2-8d8aeec362fa,388293775,2026-08-04 12:53:16-06:00,2026-08-04,-105.619705,39.9538533333,2966.0,,3.0,15.0,2.3,15.5,,,Boletus rubriceps,"Devils Thumb Trail, Nederland, CO, US",1,,,,,,,0.0,0.0,0.0,10,Tree cover,,,,,,23.4,7.5,25.2,10.2,26.2,8.9,23.1,6.6,22.8,6.8,20.9,8.1,22.1,9.2
650942ab-0edc-424a-a2ab-c33c71815a1c,388306814,2026-08-04 12:51:13-06:00,2026-08-04,-108.12403542,37.7561116778,2705.0,,13.0,27.0,0.0,5.0,,,Boletus rubriceps,"Dolores County, US-CO, US",1,,,,,,,0.0,0.0,0.0,10,Tree cover,,,,,,27.6,12.8,26.9,13.7,27.4,10.4,25.8,10.5,26.9,9.3,24.4,11.6,24.7,11.1
42587220-fbe6-4e87-a4aa-eca6086f51ee,388392139,2026-08-04 16:01:11-06:00,2026-08-04,-105.7833325271,39.7347063514,3513.0,,3.0,15.0,2.3,15.5,,,Boletus rubriceps,"Colorado, US",2,,,,,,,0.0,0.0,0.0,10,Tree cover,,,,,,20.2,3.8,21.6,9.5,22.5,6.4,19.7,5.3,19.0,4.8,18.2,5.5,19.4,7.4
d98903d8-8288-4efd-adb8-e4c6b31b85a5,388774074,2026-08-04 20:06:07-06:00,2026-08-04,-110.6740533561,40.7461957259,3334.0,,,,,,,,Boletus edulis,"Bear River, WY 82930, USA",2,,,,,,,0.0,0.0,0.0,100,Moss and lichen,,,,,,18.4,7.3,19.6,9.0,21.7,10.4,22.3,7.3,20.4,6.7,17.2,6.9,16.6,8.3
d186de42-01a4-4ebe-8785-8463e2d5a2d4,389020629,2026-08-04 13:02:08-06:00,2026-08-04,-105.5902063521,40.196309612,2770.0,,11.7,27.2,0.0,14.1,,,Boletus rubriceps,"Rocky Mountain, Rocky Mountain National Park, Boulder County, US-CO, US",1,,,,,,,0.0,0.0,0.0,10,Tree cover,,,,,,21.8,8.8,26.6,11.4,27.7,11.1,23.2,9.4,23.7,8.8,23.8,9.7,23.5,11.1
ab15ce0f-49b8-4784-b40f-1cd9b6da9a76,389778011,2026-08-04 17:31:33-06:00,2026-08-04,-105.8506383333,40.3955716667,2748.0,,11.7,27.2,0.0,14.1,,,Boletus rubriceps,"Rocky Mountain National Park, Grand Lake, CO, US",1,,,,,,,0.0,0.0,0.0,10,Tree cover,,,,,,23.0,9.3,24.8,14.9,26.6,11.8,25.1,8.5,23.0,11.8,22.2,10.2,23.2,11.9
940f46d3-0ff6-4053-8412-506304512d42,388754985,2026-08-05 13:42:10-06:00,2026-08-05,-106.6686237583,40.8311338448,3378.0,,1.0,26.0,0.0,5.7,,,Boletus rubriceps,"Clark, CO, US",2,,,,,,,,0.0,0.0,60,Bare / sparse vegetation,,,,,,18.9,3.4,20.2,5.5,22.4,10.8,24.1,10.7,22.3,9.4,19.9,9.6,18.2,6.5
61427bb1-4aca-45e1-a2fb-03cf972dae11,388740525,2026-08-05 14:25:08-06:00,2026-08-05,-106.6265346576,35.9873808687,2743.0,,18.8,31.9,0.3,4.7,,,Boletus rubriceps,"Sandoval County, US-NM, US",1,,,,,,,,0.0,0.0,10,Tree cover,,,,,,28.9,13.5,29.1,13.2,29.9,13.7,28.2,10.8,28.0,12.8,29.1,13.7,27.7,12.5
1d32c9f2-eba1-4cc1-bf14-2d62a634e451,389896700,2026-08-05 12:50:31-06:00,2026-08-05,-106.6372,35.9913333333,2695.0,,18.8,31.9,0.3,4.7,,,Boletus rubriceps,"Forest Service Road 527, Jemez Springs, NM, US",1,,,,,,,,0.0,0.0,10,Tree cover,,,,,,28.9,13.5,29.1,13.2,29.9,13.7,28.2,10.8,28.0,12.8,29.1,13.7,27.7,12.5
d21cfd7f-bc54-4a6e-86be-9ae1f0484ef0,388878402,2026-08-06 10:28:40-06:00,2026-08-06,-105.1567507537,38.8672132616,2867.0,,14.0,31.2,0.0,4.9,,,Boletus rubriceps,"Colorado, US",1,,,,,,,,,0.0,10,Tree cover,,,,,,27.4,9.8,27.0,10.3,25.7,8.9,27.0,15.2,27.6,11.7,24.4,9.9,24.7,11.0
c944698d-c778-44c3-a52f-f76350fe6cb3,389133398,2026-08-07 11:41:30-06:00,2026-08-07,-110.6627235987,40.5146151572,3115.0,,17.0,37.0,0.0,7.0,,1014.3,Boletus edulis,"Utah, US",1,,,,,,,,,,10,Tree cover,,,,,,22.9,7.4,22.4,4.8,20.8,4.8,20.7,6.2,22.1,9.7,24.0,8.6,24.8,9.6
